huyen,xa,thon,cap
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Tây Trì Nhơn,1
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Trung Đông,1
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Lại Thế 1,2
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Chiết Bi,3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố La Ỷ,3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Lại Thế 2,3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Nam Thượng,3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Ngọc Anh,3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Tây Thượng,3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 11,1
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 1,2
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 4,2
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 5,2
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 2,3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 3,3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 6,3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 8,3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 9,3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 10,3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 12,3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 7,4
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 3,1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 4,1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 6,1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 1,2
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 5,2
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 2,3
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 7,3
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 8,3
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 9,3
Thành phố Huế,Phường Thuận An,Tổ dân phố An Hải,1
Thành phố Huế,Phường Thuận An,Tổ dân phố Hải Bình,1
Thành phố Huế,Phường Thuận An,Tổ dân phố Hải Thành,1
Thành phố Huế,Phường Thuận An,Tổ dân phố Hải Tiến,1
Thành phố Huế,Phường Thuận An,Tổ dân phố Minh Hải,1
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Bình,1
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Lập,1
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Mỹ,1
Thành phố Huế,Phường Thuận An,Tổ dân phố Diên Trường,3
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân An,3
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Cảng,3
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Dương,4
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 1,1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 2,1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 4,1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 6,1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 7,1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 12,1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 3,2
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 8,2
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 5,3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 9,3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 10,3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 11,3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 13,3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 1,1
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 2,2
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 3,3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 4,3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 5,3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 6,3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 7,3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 8,3
